0,1,"74002 + 17/q^8 + 16/q^(15/2) + 83/q^7 + 78/q^(13/2) + 311/q^6 + 292/q^(11/2) + 953/q^5 + 894/q^(9/2) + 2620/q^4 + 2456/q^(7/2) + 6576/q^3 + 6160/q^(5/2) + 15502/q^2 + 14512/q^(3/2) + 34602/q + 32372/Sqrt[q] + 69192*Sqrt[q] + 152442*q + 142452*q^(3/2) + 304298*q^2 + 284200*q^(5/2) + 590638*q^3 + 551332*q^(7/2) + 1118807*q^4 + 1043808*q^(9/2) + 2073129*q^5 + 1933170*q^(11/2) + 3766741*q^6 + 3510692*q^(13/2) + 6722371*q^7 + 6262338*q^(15/2) + 11803594*q^8"
0,2,"1785 + 10710*q + 48195*q^2 + 174930*q^3 + 562275*q^4 + 1638630*q^5 + 4448220*q^6 + 11374020*q^7 + 27712125*q^8"
0,3,"1 + 8*Sqrt[q] + 36*q + 128*q^(3/2) + 394*q^2 + 1088*q^(5/2) + 2776*q^3 + 6656*q^(7/2) + 15155*q^4 + 33056*q^(9/2) + 69508*q^5 + 141568*q^(11/2) + 280382*q^6 + 541696*q^(13/2) + 1023512*q^7 + 1895424*q^(15/2) + 3446617*q^8"
0,4,"1 + 28*q + 329*q^2 + 2632*q^3 + 16380*q^4 + 85764*q^5 + 393589*q^6 + 1628548*q^7 + 6190527*q^8"
0,5,"1 + 15*q + 32*q^(3/2) + 132*q^2 + 384*q^(5/2) + 1115*q^3 + 2976*q^(7/2) + 7686*q^4 + 18816*q^(9/2) + 44604*q^5 + 102240*q^(11/2) + 227592*q^6 + 493440*q^(13/2) + 1044915*q^7 + 2164864*q^(15/2) + 4397325*q^8"
0,6,"1 + 18*q + 249*q^2 + 2302*q^3 + 17351*q^4 + 110110*q^5 + 614212*q^6 + 3079692*q^7 + 14142714*q^8"
0,7,"1 + 21*q + 247*q^2 + 128*q^(5/2) + 2123*q^3 + 2048*q^(7/2) + 14810*q^4 + 20096*q^(9/2) + 90813*q^5 + 149504*q^(11/2) + 505622*q^6 + 926080*q^(13/2) + 2600982*q^7 + 5023744*q^(15/2) + 12477540*q^8"
0,8,"1 + 24*q + 318*q^2 + 3306*q^3 + 28179*q^4 + 205278*q^5 + 1317882*q^6 + 7623390*q^7 + 40367214*q^8"
0,9,"1 + 27*q + 398*q^2 + 4214*q^3 + 512*q^(7/2) + 35735*q^4 + 10240*q^(9/2) + 257181*q^5 + 121344*q^(11/2) + 1627822*q^6 + 1075200*q^(13/2) + 9300841*q^7 + 7845376*q^(15/2) + 48883839*q^8"
0,10,"1 + 30*q + 487*q^2 + 5642*q^3 + 53109*q^4 + 428890*q^5 + 3068150*q^6 + 19829832*q^7 + 117496845*q^8"
0,11,"1 + 33*q + 585*q^2 + 7361*q^3 + 73485*q^4 + 2048*q^(9/2) + 617733*q^5 + 49152*q^(11/2) + 4536545*q^6 + 681984*q^(13/2) + 29837241*q^7 + 6995968*q^(15/2) + 178908111*q^8"
0,12,"1 + 36*q + 692*q^2 + 9398*q^3 + 100880*q^4 + 913030*q^5 + 7241429*q^6 + 51624466*q^7 + 336617346*q^8"
